id,name,username,date,reply_to,content,reply,retweet,like
ꦦꦼꦤ꧀ꦗꦒꦦꦤ꧀ꦕꦱꦶꦭSep92021Mohon k,ꦦꦼꦤ꧀ꦗꦒ ꦦꦤ꧀ꦕꦱꦶꦭ,@TriIriandono,"Sep 9, 2021",,"Mohon klarifikasi donk BPK Presiden ke-6 
@SBYudhoyono
  .

Sebab Bapak dituding sbg akar penyebab kekerasan thd Ahmadiyah 

Konpres donk..",,2,1
فوطىربيٱالمشريةSep92021No Ebon,فوطى ربيٱ المشرية,@Puti_R4bia,"Sep 9, 2021",,"No Ebong
No Syiah
No Porno
No Ahmadiyah",,,
DPPGMNISep92021@Gesuri,DPP GMNI,@dppgmni_id,"Sep 9, 2021",,"@GesuriID
 DPP GMNI Minta SKB 3 Menteri soal Ahmadiyah Dievaluasi! 

https://gesuri.id/pemerintahan/gmni-minta-evaluasi-skb-3-menteri-soal-ahmadiyah-b2c9wZ2Aq…

#dppgmni #gmni",,,
DPPGMNISep92021DPP GMN,DPP GMNI,@dppgmni_id,"Sep 9, 2021",,"DPP GMNI Desak 3 Menteri Segera Bahas SKB Nomor 3 Tahun 2008
#dppgmni #gmni #ahmadiyah",,1,1
PersAhmadiyahIndonesiaSep92021GMNI Mi,Pers Ahmadiyah Indonesia,@PersAhmadiyah,"Sep 9, 2021",,"GMNI Minta Evaluasi SKB 3 Menteri Soal Ahmadiyah

Sumber: https://gesuri.id/pemerintahan/gmni-minta-evaluasi-skb-3-menteri-soal-ahmadiyah-b2c9wZ2Aq…

#CabutSKB3MenteriAhmadiyah",,1,2
PontianakPostSep92021Sikapi ,Pontianak Post,@pontianakpost1,"Sep 9, 2021",,"Sikapi Kasus Ahmadiyah, Bupati Panggil FKUB https://pontianakpost.co.id/sikapi-kasus-ahmadiyah-bupati-panggil-fkub/…",,,
DonnaSep92021Memang ,Donna,@Diordanxe,"Sep 9, 2021",@Momonsimomon,Memang syahadat Ahmadiyah berbeda ? Gmn syahadat nya,1,,1
@ManusiaAntiHoaks.Sep92021*Wadoeh,@Manusia Anti Hoaks.,@Jhony59343986,"Sep 9, 2021",,*Wadoeh kok malah Kepala Daerah Ikut-ikutan sih bukan mengayomi warganya*.. *TOLAK Intervensi Gubernur dalam kasus Intoleransi terhadap warga Ahmadiyah Sintang!!*,,,
DedenSujanaSep92021Beberap,Deden Sujana,@dedensujana,"Sep 9, 2021",,"Beberapa kalangan tertentu kerap menyampaikan 2 buah pertanyaan kritisnya

1. Apakah Ahmadiyah percaya pada ayat _Khaatamannabiyyiin_ dalam al-Qur'an?
2. Apakah Ahmadiyah percaya bahwa Nabi Muhammad Saw adalah nabi yang terakhir? 
@Iskandargumay1",,,5
MuridIslamAhmadiyahSep92021update ,MuridIslamAhmadiyah,@MAhmadiyah,"Sep 9, 2021",@Momonsimomon,"update ya, udh bukan di Baitul Futuh London.. tapi di Surrey, Mesjid Mubarak. dan yang ada Khalifah hanya Ahmadiyah Qadian",,,
SuheriadiSep92021Ahmadiy,Suheri adi,@Momonsimomon,"Sep 9, 2021",@DewaBanjari,"Ahmadiyah ada 2 yakni Ahmadiyah Qadian & Lahore. Fatwa 
@MUIPusat
 udah jelas Ahmadiyah Qadian dilarang karena menyimpang dari ajaran Islam (mengakui Gulam Mirza sebagai nabi). Jika katolik ada paus, Ahmadiyah entah Qadian atau Lahore ada khalifah berpusat di Baitul Futuh London",2,,1
KalbarOnlineSep92021Sutarmi,Kalbar Online,@KalbarOnline,"Sep 9, 2021",,Sutarmidji dan Forkopimda Kalbar Janji Carikan Solusi Permanen Soal Ahmadiyah,,,
KalbarOnlineSep92021Soal Ah,Kalbar Online,@KalbarOnline,"Sep 9, 2021",,"Soal Ahmadiyah, Sutarmidji Minta Semua Pihak Tahan Diri",,,
nugrahwijayaSep92021Kamu it,nugrah wijaya,@nugrahwijayamu1,"Sep 9, 2021",,"Kamu itu Islam apaan? Orang Islam ngebakar masjid, musuhi yg katamu saudara. Kalau orang Ahmadiyah salah dan keliru, biarlah mereka sendiri yg nanggung masuk neraka. Gak usah sok benar kau. Jancuk emang kalian!!",,,1
"ModestMuslim☪︎Sep92021""...int",Modest Muslim ☪︎,@muslim_modest,"Sep 9, 2021",,"""...introducing 'Qadianiat' to students...""

Like they already didn't know about Ahmadis thanks to this decades-old anti-Ahmadiyah hate campaign! Pakistanis are so insecure when it comes to religion.",,3,7
InfoIndonesiaSep92021MUI dan,Info Indonesia,@_infoindonesia,"Sep 9, 2021",,"MUI dan FKUB Keluarkan Pernyataan Soal Ahmadiyah

Majelis Ulama Indonesia (MUI) Kalimantan Barat dan Forum Kerukunan Umat beragama bersama ormas Islam

Baca selengkapnya di Website INFO INDONESIA
https://infoindonesia.id/read/2021/09/09/7096/mui-dan-fkub-keluarkan-pernyataan-soal-ahmadiyah…

#MUI #Islam #infoindonesia",,,
ObsessionNewsSep92021#Kemena,Obsession News,@onnewscom,"Sep 9, 2021",,#Kemenag Kerahkan Penyuluh Sosialisasikan SKB 3 Menteri tentang Peringatan kepada #Ahmadiyah,,,
